model,cell,n_vars,var_mag_correct,convention_blind_given_mag,sign_wrong_given_mag,cb_wilson_lo,cb_wilson_hi
deepseek-v3-api,cw,320,0.5719,0.8306,0.8306,0.7696,0.8780
deepseek-v3-api,dflt,320,0.6094,0.0000,0.0000,0.0000,0.0193
gemma4-31b-api,cw,1416,0.9294,0.0448,0.0448,0.0349,0.0574
gemma4-31b-api,dflt,1430,0.9902,0.0000,0.0000,0.0000,0.0027
gemma4-31b-api,inw,1458,1.0000,0.0000,0.0000,0.0000,0.0026
gemma4-31b-api,wrk,1382,0.9971,0.0000,0.0000,0.0000,0.0028
gpt-oss-120b-api,cw,1600,0.9944,0.0138,0.0138,0.0091,0.0208
gpt-oss-120b-api,dflt,1586,0.9987,0.0000,0.0000,0.0000,0.0024
gpt-oss-120b-api,inw,1579,0.9987,0.0000,0.0000,0.0000,0.0024
gpt-oss-120b-api,wrk,1593,0.9987,0.0006,0.0006,0.0001,0.0036
gpt5-api,cw,1600,0.9931,0.0101,0.0101,0.0062,0.0163
gpt5-api,dflt,1600,0.9988,0.0000,0.0000,0.0000,0.0024
gpt5-api,inw,1600,0.9944,0.0006,0.0006,0.0001,0.0036
gpt5-api,wrk,1600,0.9938,0.0000,0.0000,0.0000,0.0024
llama33-70b-api,cw,320,0.3688,0.8983,0.8983,0.8306,0.9409
llama33-70b-api,dflt,320,0.4469,0.0140,0.0140,0.0038,0.0496
qwen25-72b-api,cw,320,0.3875,0.8790,0.8790,0.8100,0.9253
qwen25-72b-api,dflt,320,0.4531,0.0276,0.0276,0.0108,0.0688
qwen3-8b-nothink,cw,1163,0.3560,0.8406,0.8406,0.8022,0.8727
qwen3-8b-nothink,dflt,1167,0.3385,0.0506,0.0506,0.0330,0.0769
qwen3-8b-nothink,inw,1181,0.3641,0.0558,0.0558,0.0378,0.0817
qwen3-8b-nothink,wrk,1187,0.3260,0.1473,0.1473,0.1154,0.1861
