model,cell,all_rate,all_n,diag_rate,diag_n
deepseek-v3-api,cw,0.8306,183,0.9317,161
deepseek-v3-api,dflt,0.0000,195,nan,0
gemma4-31b-api,cw,0.0448,1316,0.0513,1111
gemma4-31b-api,dflt,0.0000,1416,nan,0
gemma4-31b-api,inw,0.0000,1458,0.0000,229
gemma4-31b-api,wrk,0.0000,1378,0.0000,1163
gpt-oss-120b-api,cw,0.0138,1591,0.0097,1344
gpt-oss-120b-api,dflt,0.0000,1584,nan,0
gpt-oss-120b-api,inw,0.0000,1577,0.0000,245
gpt-oss-120b-api,wrk,0.0006,1591,0.0007,1343
gpt5-api,cw,0.0101,1589,0.0097,1344
gpt5-api,dflt,0.0000,1598,nan,0
gpt5-api,inw,0.0006,1591,0.0041,245
gpt5-api,wrk,0.0000,1590,0.0000,1342
llama33-70b-api,cw,0.8983,118,0.9636,110
llama33-70b-api,dflt,0.0140,143,nan,0
qwen25-72b-api,cw,0.8790,124,0.9561,114
qwen25-72b-api,dflt,0.0276,145,nan,0
qwen3-8b-nothink,cw,0.8406,414,0.9247,372
qwen3-8b-nothink,dflt,0.0506,395,nan,0
qwen3-8b-nothink,inw,0.0558,430,0.3415,41
qwen3-8b-nothink,wrk,0.1473,387,0.1556,347
