model,cell,n_diag_vars,var_mag_correct,convention_blind_given_mag,sign_wrong_given_mag,cb_wilson_lo,cb_wilson_hi
deepseek-v3-api,cw,270,0.5963,0.9317,0.9317,0.8818,0.9614
gemma4-31b-api,cw,1193,0.9313,0.0513,0.0513,0.0398,0.0659
gemma4-31b-api,inw,229,1.0000,0.0000,0.0000,0.0000,0.0165
gemma4-31b-api,wrk,1165,0.9983,0.0000,0.0000,0.0000,0.0033
gpt-oss-120b-api,cw,1350,0.9956,0.0097,0.0097,0.0057,0.0165
gpt-oss-120b-api,inw,247,0.9919,0.0000,0.0000,0.0000,0.0154
gpt-oss-120b-api,wrk,1344,0.9993,0.0007,0.0007,0.0001,0.0042
gpt5-api,cw,1350,0.9956,0.0097,0.0097,0.0057,0.0165
gpt5-api,inw,250,0.9800,0.0041,0.0041,0.0007,0.0228
gpt5-api,wrk,1350,0.9941,0.0000,0.0000,0.0000,0.0029
llama33-70b-api,cw,270,0.4074,0.9636,0.9636,0.9102,0.9858
qwen25-72b-api,cw,270,0.4222,0.9561,0.9561,0.9014,0.9811
qwen3-8b-nothink,cw,982,0.3788,0.9247,0.9247,0.8934,0.9474
qwen3-8b-nothink,inw,184,0.2228,0.3415,0.3415,0.2156,0.4945
qwen3-8b-nothink,wrk,1002,0.3463,0.1556,0.1556,0.1213,0.1975
