model,cell,regime,n,correct,compliance,competence,completed_rate,final_correct_rate,mag_correct_rate,sign_given_mag_rate,extract_issues
gemma4-31b,act,all,1,1,0,0,1.0000,1.0000,1.0000,1.0000,0
gemma4-31b,act,trap,1,1,0,0,1.0000,1.0000,1.0000,1.0000,0
gemma4-31b,ccw,all,1,0,1,0,1.0000,0.0000,1.0000,0.0000,0
gemma4-31b,ccw,trap,1,0,1,0,1.0000,0.0000,1.0000,0.0000,0
gemma4-31b,dflt,all,2,2,0,0,1.0000,1.0000,1.0000,1.0000,0
gemma4-31b,dflt,trap,2,2,0,0,1.0000,1.0000,1.0000,1.0000,0
gemma4-31b-api,act,all,250,194,14,42,0.9120,0.7760,0.8320,0.9327,22
gemma4-31b-api,act,control,124,99,8,17,0.9194,0.7984,0.8629,0.9252,10
gemma4-31b-api,act,trap,126,95,6,25,0.9048,0.7540,0.8016,0.9406,12
gemma4-31b-api,ccw,all,250,29,183,38,0.9520,0.1160,0.8480,0.1368,12
gemma4-31b-api,ccw,control,124,16,90,18,0.9274,0.1290,0.8548,0.1509,9
gemma4-31b-api,ccw,trap,126,13,93,20,0.9762,0.1032,0.8413,0.1226,3
gemma4-31b-api,dflt,all,250,205,8,37,0.9320,0.8200,0.8520,0.9624,15
gemma4-31b-api,dflt,control,124,108,2,14,0.9516,0.8710,0.8871,0.9818,5
gemma4-31b-api,dflt,trap,126,97,6,23,0.9127,0.7698,0.8175,0.9417,10
gemma4-31b-api,top,all,250,150,9,91,0.9720,0.6000,0.6360,0.9434,5
gemma4-31b-api,top,control,124,77,5,42,0.9758,0.6210,0.6613,0.9390,2
gemma4-31b-api,top,trap,126,73,4,49,0.9683,0.5794,0.6111,0.9481,3
gpt-oss-120b-api,act,all,250,42,59,149,0.8960,0.1680,0.4040,0.4158,26
gpt-oss-120b-api,act,control,124,19,33,72,0.9113,0.1532,0.4194,0.3654,11
gpt-oss-120b-api,act,trap,126,23,26,77,0.8810,0.1825,0.3889,0.4694,15
gpt-oss-120b-api,ccw,all,250,1,149,100,0.9280,0.0040,0.6000,0.0067,18
gpt-oss-120b-api,ccw,control,124,1,75,48,0.9435,0.0081,0.6129,0.0132,7
gpt-oss-120b-api,ccw,trap,126,0,74,52,0.9127,0.0000,0.5873,0.0000,11
gpt-oss-120b-api,dflt,all,250,63,87,100,0.9000,0.2520,0.6000,0.4200,25
