model,cell,n_vars,var_mag_correct,convention_blind_given_mag,sign_wrong_given_mag,cb_wilson_lo,cb_wilson_hi
gemma4-31b,act,7,1.0000,0.0000,0.0000,0.0000,0.3543
gemma4-31b,ccw,7,1.0000,0.2857,0.2857,0.0822,0.6411
gemma4-31b,dflt,14,1.0000,0.0000,0.0000,0.0000,0.2153
gemma4-31b-api,act,1606,0.8798,0.0290,0.0290,0.0215,0.0391
gemma4-31b-api,ccw,1606,0.8786,0.3175,0.3175,0.2937,0.3423
gemma4-31b-api,dflt,1606,0.8873,0.0239,0.0239,0.0171,0.0332
gemma4-31b-api,top,1606,0.7217,0.0190,0.0224,0.0126,0.0286
gpt-oss-120b-api,act,1606,0.5448,0.1429,0.1429,0.1212,0.1676
gpt-oss-120b-api,ccw,1606,0.7024,0.2988,0.2988,0.2728,0.3261
gpt-oss-120b-api,dflt,1606,0.6974,0.1339,0.1339,0.1152,0.1551
gpt-oss-120b-api,top,1606,0.4763,0.1150,0.1294,0.0943,0.1396
qwen25-32b,act,1606,0.1208,0.3144,0.3144,0.2532,0.3828
qwen25-32b,ccw,1606,0.0853,0.4526,0.4526,0.3716,0.5361
qwen25-32b,dflt,1606,0.0953,0.2810,0.2810,0.2159,0.3570
qwen25-32b,top,1606,0.0803,0.2326,0.3101,0.1680,0.3125
qwen25-7b-instruct,act,1606,0.0430,0.2029,0.2029,0.1249,0.3122
qwen25-7b-instruct,ccw,1606,0.0349,0.4821,0.4821,0.3567,0.6099
qwen25-7b-instruct,dflt,1606,0.0349,0.1964,0.1964,0.1134,0.3184
qwen25-7b-instruct,top,1606,0.0386,0.1290,0.3387,0.0669,0.2345
qwen3-1.7b-nothink,act,1606,0.0299,0.2708,0.2708,0.1657,0.4100
qwen3-1.7b-nothink,ccw,1606,0.0280,0.4444,0.4444,0.3094,0.5882
qwen3-1.7b-nothink,dflt,1606,0.0237,0.3684,0.3684,0.2338,0.5272
qwen3-1.7b-nothink,top,1606,0.0255,0.2439,0.5122,0.1383,0.3934
qwen3-14b-nothink,act,1606,0.1457,0.3248,0.3248,0.2680,0.3872
qwen3-14b-nothink,ccw,1606,0.1351,0.4332,0.4332,0.3690,0.4997
qwen3-14b-nothink,dflt,1606,0.1177,0.2063,0.2063,0.1548,0.2696
qwen3-14b-nothink,top,1606,0.1027,0.1697,0.3030,0.1201,0.2343
qwen3-14b-think,act,1606,0.0847,0.2794,0.2794,0.2109,0.3601
qwen3-14b-think,ccw,1606,0.1532,0.3130,0.3130,0.2583,0.3735
qwen3-14b-think,dflt,1606,0.1650,0.1094,0.1094,0.0773,0.1527
qwen3-14b-think,top,1606,0.0859,0.1014,0.1232,0.0614,0.1631
qwen3-32b-nothink,act,1606,0.1613,0.3822,0.3822,0.3252,0.4427
qwen3-32b-nothink,ccw,1606,0.1426,0.4410,0.4410,0.3782,0.5058
qwen3-32b-nothink,dflt,1606,0.1719,0.1739,0.1739,0.1338,0.2230
qwen3-32b-nothink,top,1606,0.1090,0.2171,0.2629,0.1625,0.2839
qwen3-32b-think,act,1606,0.1021,0.2378,0.2378,0.1791,0.3085
qwen3-32b-think,ccw,1606,0.0984,0.3671,0.3671,0.2959,0.4446
qwen3-32b-think,dflt,1606,0.1202,0.0518,0.0518,0.0284,0.0927
qwen3-32b-think,top,1606,0.0772,0.1048,0.1290,0.0623,0.1711
qwen3-4b-nothink,act,1606,0.0417,0.3134,0.3134,0.2151,0.4320
qwen3-4b-nothink,ccw,1606,0.0423,0.4412,0.4412,0.3295,0.5592
qwen3-4b-nothink,dflt,1606,0.0405,0.1231,0.1231,0.0637,0.2245
qwen3-4b-nothink,top,1606,0.0417,0.1940,0.2836,0.1171,0.3042
qwen3-4b-think,act,1606,0.0685,0.3636,0.3636,0.2798,0.4567
qwen3-4b-think,ccw,1606,0.0704,0.3628,0.3628,0.2800,0.4546
qwen3-4b-think,dflt,1606,0.0959,0.1818,0.1818,0.1289,0.2502
qwen3-4b-think,top,1606,0.0324,0.2115,0.2500,0.1224,0.3403
qwen3-8b-nothink,act,1606,0.0978,0.3376,0.3376,0.2683,0.4146
qwen3-8b-nothink,ccw,1606,0.0828,0.4436,0.4436,0.3619,0.5284
qwen3-8b-nothink,dflt,1606,0.0729,0.2051,0.2051,0.1419,0.2871
qwen3-8b-nothink,top,1606,0.0641,0.0971,0.1845,0.0536,0.1696
qwen3-8b-think,act,1606,0.0548,0.3750,0.3750,0.2811,0.4794
qwen3-8b-think,ccw,1606,0.0492,0.3418,0.3418,0.2467,0.4515
qwen3-8b-think,dflt,1606,0.0554,0.2472,0.2472,0.1693,0.3460
qwen3-8b-think,top,1606,0.0249,0.1750,0.3500,0.0875,0.3195
r1-distill-32b,act,49,0.2857,0.1429,0.1429,0.0401,0.3994
r1-distill-32b,ccw,40,0.3250,0.3077,0.3077,0.1268,0.5763
r1-distill-32b,dflt,32,0.0312,0.0000,0.0000,0.0000,0.7935
r1-distill-32b,top,37,0.0270,0.0000,0.0000,0.0000,0.7935
