model,cell,all_rate,all_n,diag_rate,diag_n
deepseek-v3-api,act,0.2884,482,0.6200,150
deepseek-v3-api,ccw,0.3596,456,0.7946,185
deepseek-v3-api,dflt,0.0581,499,nan,0
deepseek-v3-api,top,0.0767,365,0.0667,30
gemma4-31b-api,act,0.0290,1413,0.0343,437
gemma4-31b-api,ccw,0.3175,1411,0.7786,560
gemma4-31b-api,dflt,0.0239,1425,nan,0
gemma4-31b-api,top,0.0190,1159,0.0000,250
gemma4-31b,act,0.0000,7,0.0000,2
gemma4-31b,ccw,0.2857,7,0.6667,3
gemma4-31b,dflt,0.0000,14,nan,0
gpt-oss-120b-api,act,0.1429,875,0.1157,268
gpt-oss-120b-api,ccw,0.2988,1128,0.7419,434
gpt-oss-120b-api,dflt,0.1339,1120,nan,0
gpt-oss-120b-api,top,0.1150,765,0.0116,172
gpt5-api,act,0.0709,141,0.0000,50
gpt5-api,ccw,0.2707,133,0.7059,51
gpt5-api,dflt,0.0656,122,nan,0
gpt5-api,top,0.0275,109,0.0000,15
llama33-70b-api,act,0.2871,317,0.7320,97
llama33-70b-api,ccw,0.4372,247,0.7870,108
llama33-70b-api,dflt,0.0789,266,nan,0
llama33-70b-api,top,0.1949,195,0.1250,8
qwen25-32b,act,0.3144,194,0.7903,62
qwen25-32b,ccw,0.4526,137,0.7714,70
qwen25-32b,dflt,0.2810,153,nan,0
qwen25-32b,top,0.2326,129,0.0769,13
qwen25-72b-api,act,0.3123,253,0.5641,78
qwen25-72b-api,ccw,0.4319,213,0.7614,88
qwen25-72b-api,dflt,0.1348,230,nan,0
qwen25-72b-api,top,0.1854,205,0.0714,28
qwen25-7b-instruct,act,0.2029,69,0.5833,12
qwen25-7b-instruct,ccw,0.4821,56,0.6296,27
qwen25-7b-instruct,dflt,0.1964,56,nan,0
qwen25-7b-instruct,top,0.1290,62,0.0000,16
qwen3-1.7b-nothink,act,0.2708,48,0.6250,8
qwen3-1.7b-nothink,ccw,0.4444,45,0.7083,24
qwen3-1.7b-nothink,dflt,0.3684,38,nan,0
qwen3-1.7b-nothink,top,0.2439,41,0.1429,14
qwen3-1.7b-think,act,0.3543,127,0.6571,35
qwen3-1.7b-think,ccw,0.3765,162,0.7246,69
qwen3-1.7b-think,dflt,0.2028,143,nan,0
qwen3-1.7b-think,top,0.1932,88,0.0000,10
qwen3-14b-nothink,act,0.3248,234,0.6216,74
qwen3-14b-nothink,ccw,0.4332,217,0.7473,91
qwen3-14b-nothink,dflt,0.2063,189,nan,0
qwen3-14b-nothink,top,0.1697,165,0.0714,28
qwen3-14b-think,act,0.2794,136,0.4255,47
qwen3-14b-think,ccw,0.3130,246,0.7802,91
qwen3-14b-think,dflt,0.1094,265,nan,0
qwen3-14b-think,top,0.1014,138,0.0000,21
qwen3-32b-nothink,act,0.3822,259,0.6235,85
qwen3-32b-nothink,ccw,0.4410,229,0.7745,102
qwen3-32b-nothink,dflt,0.1739,276,nan,0
qwen3-32b-nothink,top,0.2171,175,0.1250,16
qwen3-32b-think,act,0.2378,164,0.5000,58
qwen3-32b-think,ccw,0.3671,158,0.7581,62
qwen3-32b-think,dflt,0.0518,193,nan,0
qwen3-32b-think,top,0.1048,124,0.0000,19
qwen3-4b-nothink,act,0.3134,67,0.8125,16
qwen3-4b-nothink,ccw,0.4412,68,0.6757,37
qwen3-4b-nothink,dflt,0.1231,65,nan,0
qwen3-4b-nothink,top,0.1940,67,0.0000,10
qwen3-4b-think,act,0.3636,110,0.7381,42
qwen3-4b-think,ccw,0.3628,113,0.7021,47
qwen3-4b-think,dflt,0.1818,154,nan,0
qwen3-4b-think,top,0.2115,52,0.0000,4
qwen3-8b-nothink,act,0.3376,157,0.7727,44
qwen3-8b-nothink,ccw,0.4436,133,0.7049,61
qwen3-8b-nothink,dflt,0.2051,117,nan,0
qwen3-8b-nothink,top,0.0971,103,0.0833,12
qwen3-8b-think,act,0.3750,88,0.7429,35
qwen3-8b-think,ccw,0.3418,79,0.8065,31
qwen3-8b-think,dflt,0.2472,89,nan,0
qwen3-8b-think,top,0.1750,40,0.0000,12
r1-distill-32b,act,0.1429,14,1.0000,2
r1-distill-32b,ccw,0.3077,13,0.6667,6
r1-distill-32b,dflt,0.0000,1,nan,0
r1-distill-32b,top,0.0000,1,nan,0
