model,cell,n_diag_vars,var_mag_correct,convention_blind_given_mag,sign_wrong_given_mag,cb_wilson_lo,cb_wilson_hi
deepseek-v3-api,act,500,0.3000,0.6200,0.6200,0.5402,0.6938
deepseek-v3-api,ccw,642,0.2882,0.7946,0.7946,0.7307,0.8465
deepseek-v3-api,top,328,0.0915,0.0667,0.6000,0.0185,0.2132
gemma4-31b,act,2,1.0000,0.0000,0.0000,0.0000,0.6576
gemma4-31b,ccw,3,1.0000,0.6667,0.6667,0.2077,0.9385
gemma4-31b-api,act,500,0.8740,0.0343,0.0343,0.0209,0.0559
gemma4-31b-api,ccw,642,0.8723,0.7786,0.7786,0.7423,0.8110
gemma4-31b-api,top,328,0.7622,0.0000,0.0160,0.0000,0.0151
gpt-oss-120b-api,act,500,0.5360,0.1157,0.1157,0.0827,0.1595
gpt-oss-120b-api,ccw,642,0.6760,0.7419,0.7419,0.6988,0.7809
gpt-oss-120b-api,top,328,0.5244,0.0116,0.0756,0.0032,0.0414
gpt5-api,act,124,0.4032,0.0000,0.0000,0.0000,0.0713
gpt5-api,ccw,160,0.3187,0.7059,0.7059,0.5700,0.8129
gpt5-api,top,80,0.1875,0.0000,0.0000,0.0000,0.2039
llama33-70b-api,act,500,0.1940,0.7320,0.7320,0.6362,0.8100
llama33-70b-api,ccw,642,0.1682,0.7870,0.7870,0.7007,0.8537
llama33-70b-api,top,328,0.0244,0.1250,1.0000,0.0224,0.4709
qwen25-32b,act,500,0.1240,0.7903,0.7903,0.6736,0.8732
qwen25-32b,ccw,642,0.1090,0.7714,0.7714,0.6605,0.8541
qwen25-32b,top,328,0.0396,0.0769,0.8462,0.0137,0.3331
qwen25-72b-api,act,500,0.1560,0.5641,0.5641,0.4536,0.6686
qwen25-72b-api,ccw,642,0.1371,0.7614,0.7614,0.6626,0.8383
qwen25-72b-api,top,328,0.0854,0.0714,0.9643,0.0198,0.2265
qwen25-7b-instruct,act,500,0.0240,0.5833,0.5833,0.3195,0.8067
qwen25-7b-instruct,ccw,642,0.0421,0.6296,0.6296,0.4423,0.7847
qwen25-7b-instruct,top,328,0.0488,0.0000,0.8125,0.0000,0.1936
qwen3-1.7b-nothink,act,500,0.0160,0.6250,0.6250,0.3057,0.8632
qwen3-1.7b-nothink,ccw,642,0.0374,0.7083,0.7083,0.5083,0.8509
qwen3-1.7b-nothink,top,328,0.0427,0.1429,0.9286,0.0401,0.3994
qwen3-1.7b-think,act,500,0.0700,0.6571,0.6571,0.4915,0.7917
qwen3-1.7b-think,ccw,642,0.1075,0.7246,0.7246,0.6095,0.8161
qwen3-1.7b-think,top,328,0.0305,0.0000,1.0000,0.0000,0.2775
qwen3-14b-nothink,act,500,0.1480,0.6216,0.6216,0.5077,0.7235
qwen3-14b-nothink,ccw,642,0.1417,0.7473,0.7473,0.6492,0.8253
qwen3-14b-nothink,top,328,0.0854,0.0714,0.8571,0.0198,0.2265
qwen3-14b-think,act,500,0.0940,0.4255,0.4255,0.2951,0.5672
qwen3-14b-think,ccw,642,0.1417,0.7802,0.7802,0.6848,0.8530
qwen3-14b-think,top,328,0.0640,0.0000,0.1429,0.0000,0.1546
qwen3-32b-nothink,act,500,0.1700,0.6235,0.6235,0.5173,0.7191
qwen3-32b-nothink,ccw,642,0.1589,0.7745,0.7745,0.6843,0.8448
qwen3-32b-nothink,top,328,0.0488,0.1250,0.6250,0.0350,0.3602
qwen3-32b-think,act,500,0.1160,0.5000,0.5000,0.3754,0.6246
qwen3-32b-think,ccw,642,0.0966,0.7581,0.7581,0.6385,0.8475
qwen3-32b-think,top,328,0.0579,0.0000,0.1579,0.0000,0.1682
qwen3-4b-nothink,act,500,0.0320,0.8125,0.8125,0.5699,0.9341
qwen3-4b-nothink,ccw,642,0.0576,0.6757,0.6757,0.5146,0.8037
qwen3-4b-nothink,top,328,0.0305,0.0000,0.6000,0.0000,0.2775
qwen3-4b-think,act,500,0.0840,0.7381,0.7381,0.5893,0.8470
qwen3-4b-think,ccw,642,0.0732,0.7021,0.7021,0.5602,0.8135
qwen3-4b-think,top,328,0.0122,0.0000,0.5000,0.0000,0.4899
qwen3-8b-nothink,act,500,0.0880,0.7727,0.7727,0.6301,0.8716
qwen3-8b-nothink,ccw,642,0.0950,0.7049,0.7049,0.5811,0.8044
qwen3-8b-nothink,top,328,0.0366,0.0833,0.8333,0.0149,0.3539
qwen3-8b-think,act,500,0.0700,0.7429,0.7429,0.5793,0.8584
qwen3-8b-think,ccw,642,0.0483,0.8065,0.8065,0.6372,0.9081
qwen3-8b-think,top,328,0.0366,0.0000,0.5833,0.0000,0.2425
r1-distill-32b,act,14,0.1429,1.0000,1.0000,0.3424,1.0000
r1-distill-32b,ccw,16,0.3750,0.6667,0.6667,0.3000,0.9032
r1-distill-32b,top,10,0.0000,nan,nan,nan,nan
